Player,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds
Alex Smith\SmitAl03,0,0,3,13,2005,2020,96,167,161,3091,4958,34105,193,80,101,416,2355
Michael Vick\VickMi00,0,0,4,7,2001,2015,93,143,115,1807,3217,22464,133,91,88,316,1879
Matthew Stafford\StafMa00,0,0,1,10,2009,2020,95,155,155,3686,5900,42605,266,87,138,361,2348
Jeff Garcia\GarcJe00,0,0,4,8,1999,2009,89,125,116,2264,3676,25537,161,99,83,181,947
Trent Green\GreeTr00,0,0,2,7,1997,2008,94,120,113,2266,3740,28475,162,99,114,259,1621
Brad Johnson\JohnBr00,1,0,2,8,1994,2008,74,177,125,2668,4326,29054,166,82,122,251,1616
Matt Hasselbeck\HassMa00,0,0,3,11,1999,2015,88,209,160,3222,5330,36638,212,87,153,360,2260
Daunte Culpepper\CulpDa00,0,0,3,5,1999,2009,86,105,100,2016,3199,24153,149,82,106,298,1696
Ron Jaworski\JawoRo00,0,0,1,10,1974,1989,84,188,143,2187,4117,28190,179,99,164,363,2826
Steve DeBerg\DebeSt00,0,0,0,11,1978,1998,80,206,140,2874,5024,34241,196,93,204,296,2469
Steve Grogan\GrogSt00,0,0,0,10,1975,1990,90,149,135,1879,3593,26886,182,76,208,247,1986
Craig Morton\MortCr00,1,0,0,11,1965,1982,83,207,144,2053,3786,27908,183,95,187,373,2800
Kerry Collins\CollKe00,0,0,2,11,1995,2011,81,198,180,3487,6261,40922,208,89,196,337,2230
Jim Everett\EverJi00,0,0,1,10,1986,1997,87,158,153,2841,4923,34837,203,81,175,257,1885
Andy Dalton\DaltAn00,0,0,3,9,2011,2020,81,137,135,2809,4534,32046,205,86,121,285,1792
Jay Cutler\CutlJa00,0,0,1,10,2006,2017,87,153,153,3048,4920,35133,227,93,160,322,2035
Joe Ferguson\FergJo00,0,0,0,11,1973,1990,81,186,171,2369,4519,29817,196,92,209,312,2710
Danny White\WhitDa01,1,0,1,6,1976,1988,84,166,92,1761,2950,21959,155,80,132,241,2083
Chris Chandler\ChanCh00,0,0,2,9,1988,2004,77,180,152,2328,4005,28484,170,94,146,380,2590
Greg Landry\LandGr00,0,0,1,6,1968,1984,80,146,98,1276,2300,16052,98,84,103,310,2453
Andrew Luck\LuckAn00,0,0,4,5,2012,2018,71,86,86,2000,3290,23671,171,87,83,174,1124
Charley Johnson\JohnCh02,0,0,1,10,1961,1975,80,165,124,1737,3392,24410,170,90,181,118,894
Mark Rypien\RypiMa00,1,0,2,5,1988,2001,56,104,78,1466,2613,18473,115,82,88,97,664
Don Meredith\MereDo00,0,0,3,7,1960,1968,72,104,83,1170,2308,17199,135,95,111,,
Jim Harbaugh\HarbJi00,0,0,1,10,1987,2000,78,177,140,2305,3918,26288,129,85,117,361,2132
Archie Manning\MannAr00,0,0,2,11,1971,1984,75,151,139,2011,3642,23911,125,85,173,396,3092
Jim McMahon\McMaJi00,2,0,1,9,1982,1996,57,119,97,1492,2573,18148,100,87,90,226,1344
Billy Kilmer\KilmBi00,0,0,1,11,1961,1978,75,170,124,1585,2984,20495,152,96,146,158,1193
Jake Plummer\PlumJa00,0,0,1,10,1997,2006,77,143,136,2484,4350,29253,161,85,161,284,1735
Jeff Hostetler\HostJe00,2,0,1,6,1985,1997,56,152,83,1357,2338,16430,94,85,71,207,1158
Ken O'Brien\OBriKe00,0,0,2,7,1984,1993,72,129,110,2110,3602,25094,128,96,98,353,2654
Neil Lomax\LomaNe00,0,0,2,7,1981,1988,71,108,101,1817,3153,22771,136,93,90,362,2700
Steve Bartkowski\BartSt00,0,0,2,10,1975,1986,70,129,127,1932,3456,24124,156,86,144,356,2956
Matt Schaub\SchaMa00,0,0,2,7,2004,2019,70,154,93,2148,3348,25467,136,80,91,180,1245
Jim Zorn\ZornJi00,0,0,0,7,1976,1987,76,140,106,1669,3149,21115,111,82,141,213,1585
Doug Williams\WillDo01,1,0,0,6,1978,1989,56,88,81,1240,2507,16998,100,84,93,84,734
Ryan Fitzpatrick\FitzRy00,0,0,0,10,2005,2020,75,162,145,3024,4984,34421,220,98,168,295,1558
Trent Dilfer\DilfTr00,1,0,1,7,1994,2007,51,130,113,1759,3172,20518,113,83,129,263,1730
Jon Kitna\KitnJo00,0,0,0,8,1997,2011,74,141,124,2677,4442,29745,169,91,165,323,1987
Tommy Kramer\KramTo00,0,0,1,7,1977,1990,70,129,110,2012,3651,24777,159,76,158,249,1586
Steve Beuerlein\BeueSt00,1,0,1,4,1988,2003,69,147,102,1894,3328,24046,147,88,112,332,2124
Bernie Kosar\KosaBe00,1,0,1,7,1985,1996,67,126,108,1994,3365,23301,124,97,87,273,1660
Jeff Blake\BlakJe00,0,0,1,8,1992,2005,67,119,100,1827,3241,21711,134,88,99,248,1550
Bobby Hebert\HebeBo00,0,0,1,7,1985,1996,66,118,100,1839,3121,21683,135,98,124,178,1255
Kirk Cousins\CousKi00,0,0,2,5,2012,2020,62,99,94,2217,3321,25582,166,81,81,188,1380
Ryan Tannehill\TannRy00,0,0,1,7,2012,2020,63,106,104,2169,3400,24766,160,91,83,286,2150
Jay Schroeder\SchrJa00,1,0,1,8,1985,1994,62,118,99,1426,2808,20063,114,85,108,208,1600
Jeff George\GeorJe00,0,0,0,9,1990,2001,65,131,124,2298,3967,27602,154,85,113,358,2691
Lynn Dickey\DickLy00,0,0,0,8,1971,1985,65,152,111,1747,3125,23322,141,95,179,297,2423
Aaron Brooks\BrooAa00,0,0,0,5,2000,2006,65,93,90,1673,2963,20261,123,76,92,235,1454
Neil O'Donnell\ODonNe00,0,0,1,7,1991,2003,59,125,100,1865,3229,21690,120,89,68,259,1906
Jake Delhomme\DelhJa00,0,0,1,6,1999,2011,59,103,96,1741,2932,20975,126,80,101,168,1267
David Garrard\GarrDa00,0,0,1,5,2002,2010,61,86,76,1406,2281,16003,89,75,54,179,1115
Derek Carr\CarrDe02,0,0,3,6,2014,2020,55,100,100,2272,3524,24519,156,87,64,182,1105
Dan Pastorini\PastDa00,1,0,1,9,1971,1983,60,140,117,1556,3055,18515,103,85,161,246,2229
Marc Bulger\BulgMa00,0,0,2,8,2002,2009,57,96,95,1969,3171,22814,122,80,93,254,1863
Kordell Stewart\StewKo00,0,0,1,6,1995,2005,59,125,87,1316,2358,14746,77,90,84,170,1048
Richard Todd\ToddRi00,0,0,0,7,1976,1985,62,119,108,1610,2967,20610,124,87,161,264,2127
Dak Prescott\PresDa01,0,0,2,4,2016,2020,56,69,69,1514,2293,17634,106,90,40,146,892
Gus Frerotte\FrerGu00,0,0,1,5,1994,2008,56,147,93,1699,3106,21291,114,99,106,207,1328
Milt Plum\PlumMi00,0,0,2,7,1957,1969,52,129,103,1306,2419,17536,122,92,127,1,12
Bill Nelsen\NelsBi00,0,0,1,5,1963,1972,54,90,74,963,1905,14165,98,87,101,50,494
Jameis Winston\WinsJa00,0,0,1,5,2015,2019,54,72,70,1563,2548,19737,121,71,88,169,1075
Brian Griese\GrieBr00,1,0,1,5,1998,2008,53,93,83,1752,2796,19440,119,88,99,193,1326
Chad Pennington\PennCh01,0,0,0,5,2000,2010,55,89,81,1632,2471,17823,102,80,64,162,965
Doug Flutie\FlutDo00,0,0,1,4,1986,2005,51,92,66,1177,2151,14715,86,84,68,107,687
Wade Wilson\WilsWa00,1,0,1,4,1981,1998,51,125,69,1391,2428,17283,99,75,102,217,1508
Chris Miller\MillCh00,0,0,1,7,1987,1999,51,98,92,1580,2892,19320,123,89,102,209,1527
